Season,Date,Home,Away,Team,By Rotation,MP,S Pts W,S Pts L,S W %,SR Pts W,SR Pts L,SO %,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-11-12,STU,Crandall,Crandall,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,Crandall,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,Crandall,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,Crandall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,Crandall,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,STU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,STU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,STU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,STU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,STU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,Crandall,STU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-24,Holland,Crandall,Crandall,1,1,3,8,0.273,10,8,0.556,0,0,11,1.55,1,6,3,4,1,14,2,5,6,18,-0.056,0,1,1,5,18,6,2,0,0,1
2023-2024,2023-11-24,Holland,Crandall,Crandall,2,1,6,10,0.375,9,9,0.5,1,1,16,1.94,0.938,6,5,2,1,14,2.14,6,7,21,-0.048,0,1,1,4,18,5,4,4,0,1
2023-2024,2023-11-24,Holland,Crandall,Crandall,3,1,10,9,0.526,9,4,0.692,5,5,19,1.84,0.737,4,6,1,0,11,2.27,6,4,16,0.125,0,1,1,6,14,3,1,0,0,0
2023-2024,2023-11-24,Holland,Crandall,Crandall,4,1,1,9,0.1,8,15,0.348,0,2,10,1,0.8,11,6,2,0,19,2.47,3,6,29,-0.103,0,1,1,3,27,14,5,2,1,3
2023-2024,2023-11-24,Holland,Crandall,Crandall,5,1,3,8,0.273,7,3,0.7,0,0,11,1.82,1,3,3,1,2,9,1.78,6,3,15,0.2,0,0,0,6,14,7,2,2,0,0
2023-2024,2023-11-24,Holland,Crandall,Crandall,6,1,5,7,0.417,7,8,0.467,2,1,12,2.17,0.917,3,3,4,4,14,1.36,6,1,16,0.313,0,0,0,6,15,5,4,0,0,0
2023-2024,2023-11-24,Holland,Crandall,Holland,1,1,10,9,0.526,9,3,0.75,0,2,19,1.42,0.895,7,4,0,0,11,2.64,11,5,27,0.222,1,0,1,10,26,10,2,3,0,0
2023-2024,2023-11-24,Holland,Crandall,Holland,2,1,9,7,0.563,7,3,0.7,2,4,16,1.56,0.75,2,5,2,1,10,1.8,8,1,26,0.269,0,0,0,7,23,12,4,3,0,0
2023-2024,2023-11-24,Holland,Crandall,Holland,3,1,3,7,0.3,7,4,0.636,1,1,10,2.2,0.9,3,3,3,1,10,1.8,6,4,16,0.125,0,0,0,5,14,4,1,2,0,0
2023-2024,2023-11-24,Holland,Crandall,Holland,4,1,8,9,0.471,10,2,0.833,3,3,17,1.71,0.824,6,4,1,0,11,2.45,9,1,15,0.533,0,0,0,9,14,4,2,1,0,0
2023-2024,2023-11-24,Holland,Crandall,Holland,5,1,11,9,0.55,9,9,0.5,1,3,20,1.8,0.85,5,3,5,3,16,1.63,9,6,21,0.143,0,3,3,9,21,9,4,2,0,1
2023-2024,2023-11-24,Holland,Crandall,Holland,6,1,6,9,0.4,9,7,0.563,1,3,15,1.4,0.8,5,4,0,3,12,1.92,5,2,20,0.15,0,2,2,5,18,6,2,1,0,1
2023-2024,2023-11-26,Crandall,UNBSJ,Crandall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,Crandall,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,Crandall,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,Crandall,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,Crandall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,Crandall,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-12-02,Holland,Crandall,Crandall,1,1,5,5,0.5,6,9,0.4,2,2,10,1.8,0.8,9,5,0,1,15,2.47,6,3,17,0.176,2,0,2,6,16,5,3,1,0,1
2023-2024,2023-12-02,Holland,Crandall,Crandall,2,1,1,6,0.143,6,9,0.4,0,4,7,0.86,0.429,5,1,2,3,11,1.73,2,5,16,-0.188,0,0,0,2,15,4,0,1,0,0
2023-2024,2023-12-02,Holland,Crandall,Crandall,3,1,3,6,0.333,5,8,0.385,1,4,9,1.33,0.556,6,1,4,1,12,2,3,3,11,0,0,1,1,3,11,1,2,1,0,0
2023-2024,2023-12-02,Holland,Crandall,Crandall,4,1,1,5,0.167,4,11,0.267,0,1,6,0.83,0.833,4,1,5,4,14,1.36,2,3,9,-0.111,0,1,1,2,9,1,1,0,0,1
2023-2024,2023-12-02,Holland,Crandall,Crandall,5,1,2,4,0.333,4,3,0.571,0,1,6,1.67,0.833,4,3,0,0,7,2.57,3,3,9,0,1,0,1,3,9,0,0,0,1,0
2023-2024,2023-12-02,Holland,Crandall,Crandall,6,1,1,4,0.2,3,5,0.375,0,2,5,1,0.6,1,2,2,1,6,1.5,1,1,11,0,1,0,1,1,11,6,0,0,0,0
2023-2024,2023-12-02,Holland,Crandall,Holland,1,1,4,4,0.5,6,5,0.545,0,1,8,1.75,0.875,3,2,1,2,8,1.75,6,2,14,0.286,0,0,0,6,14,8,0,0,0,1
2023-2024,2023-12-02,Holland,Crandall,Holland,2,1,12,6,0.667,6,3,0.667,2,1,18,1.61,0.944,2,1,3,0,6,1.83,5,3,16,0.125,0,0,0,5,15,11,5,1,0,0
2023-2024,2023-12-02,Holland,Crandall,Holland,3,1,10,6,0.625,6,2,0.75,2,3,16,1.88,0.813,4,0,0,1,5,2.4,7,2,11,0.455,0,0,0,7,11,6,0,1,0,0
2023-2024,2023-12-02,Holland,Crandall,Holland,4,1,10,5,0.667,5,1,0.833,3,2,15,2.13,0.867,2,2,0,0,4,2.5,5,1,8,0.5,0,0,0,4,7,3,2,1,0,0
2023-2024,2023-12-02,Holland,Crandall,Holland,5,1,5,4,0.556,4,2,0.667,2,0,9,2,1,1,2,1,0,4,2,4,0,7,0.571,0,0,0,4,7,3,0,0,0,2
2023-2024,2023-12-02,Holland,Crandall,Holland,6,1,4,3,0.571,3,0,1,1,1,7,1.57,0.857,0,1,0,0,1,2,1,1,2,0,0,2,2,1,2,1,0,0,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,Crandall,1,1,1,10,0.091,10,14,0.417,0,5,11,1.09,0.545,3,11,4,4,22,1.59,5,4,17,0.059,0,0,0,5,17,2,3,0,0,1
2023-2024,2024-01-14,UNBSJ,Crandall,Crandall,2,1,9,10,0.474,10,9,0.526,1,3,19,1.79,0.842,3,7,6,1,17,1.71,10,7,29,0.103,2,1,3,9,28,11,3,5,0,1
2023-2024,2024-01-14,UNBSJ,Crandall,Crandall,3,1,4,9,0.308,9,5,0.643,1,5,13,1.62,0.615,1,7,1,1,10,1.8,5,1,15,0.267,0,0,0,4,15,5,2,1,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,Crandall,4,1,4,9,0.308,8,4,0.667,2,3,13,1.77,0.769,4,2,2,0,8,2.25,4,3,14,0.071,0,0,0,4,13,3,2,4,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,Crandall,5,1,2,8,0.2,8,5,0.615,1,2,10,1.8,0.8,1,5,1,1,8,1.75,4,3,13,0.077,0,0,0,4,13,8,3,1,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,Crandall,6,1,2,8,0.2,8,5,0.615,2,4,10,1.4,0.6,2,4,2,2,10,1.6,3,1,5,0.4,0,0,0,3,6,0,1,0,0,2
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,1,1,14,8,0.636,10,1,0.909,4,1,22,2.41,0.955,2,3,0,0,5,2.4,8,4,14,0.286,0,1,1,7,13,7,0,2,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,2,1,3,10,0.231,10,10,0.5,1,2,13,2.08,0.846,3,8,4,1,16,1.81,6,7,24,-0.042,0,1,1,6,23,8,4,3,0,1
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,3,1,6,10,0.375,9,5,0.643,0,4,16,1.56,0.75,1,6,3,1,11,1.64,6,1,15,0.333,0,1,1,6,14,6,5,2,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,4,1,8,9,0.471,9,2,0.818,1,2,17,1.71,0.882,0,6,0,2,8,1.5,8,2,15,0.4,1,1,2,8,14,8,1,2,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,5,1,2,8,0.2,8,3,0.727,0,5,10,1,0.5,1,4,1,2,8,1.5,6,1,13,0.385,0,0,0,6,12,8,2,0,0,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,6,1,9,8,0.529,8,1,0.889,3,6,17,1.53,0.647,2,1,2,1,6,1.67,6,0,9,0.667,0,1,1,5,8,1,0,3,0,0
2023-2024,2024-01-20,STU,Crandall,Crandall,1,1,3,5,0.375,6,8,0.429,2,2,8,2.25,0.75,3,3,4,2,12,1.58,3,3,12,0,0,0,0,3,11,5,4,0,0,1
2023-2024,2024-01-20,STU,Crandall,Crandall,2,1,1,6,0.143,5,7,0.417,0,4,7,0.43,0.429,8,0,1,0,9,2.78,3,4,10,-0.1,0,0,0,3,10,2,0,0,0,1
2023-2024,2024-01-20,STU,Crandall,Crandall,3,1,2,5,0.286,5,7,0.417,1,1,7,2.14,0.857,5,0,5,1,11,1.82,4,4,13,0,0,1,1,4,12,6,2,0,0,3
2023-2024,2024-01-20,STU,Crandall,Crandall,4,1,3,5,0.375,5,3,0.625,1,3,8,1.25,0.625,1,0,2,2,5,1,2,0,6,0.333,0,1,1,2,6,2,0,1,0,0
2023-2024,2024-01-20,STU,Crandall,Crandall,5,1,2,5,0.286,5,6,0.455,0,3,7,1,0.571,1,1,4,2,8,1.13,2,5,12,-0.25,0,0,0,2,12,3,1,2,0,0
2023-2024,2024-01-20,STU,Crandall,Crandall,6,1,1,5,0.167,4,13,0.235,1,2,6,1.17,0.667,7,1,5,3,16,1.75,3,7,18,-0.222,0,0,0,3,18,5,1,2,0,1
2023-2024,2024-01-20,STU,Crandall,STU,1,1,6,5,0.545,6,2,0.75,2,2,11,2,0.818,3,0,2,1,6,1.83,6,0,9,0.667,1,0,1,6,9,3,0,1,0,0
2023-2024,2024-01-20,STU,Crandall,STU,2,1,9,5,0.643,5,0,1,0,3,14,1.14,0.786,1,1,1,0,3,2,3,1,9,0.222,3,0,3,3,8,3,0,1,0,0
2023-2024,2024-01-20,STU,Crandall,STU,3,1,5,5,0.5,5,3,0.625,1,0,10,1.7,1,1,1,1,2,5,1.2,1,1,5,0,1,0,1,1,5,2,1,0,0,0
2023-2024,2024-01-20,STU,Crandall,STU,4,1,5,5,0.5,5,3,0.625,1,3,10,2,0.7,3,0,2,0,5,2.2,3,2,11,0.091,0,0,0,3,9,4,1,0,0,0
