Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-12-02,Holland,Crandall,CU,13,Colby Rhese,1,3,0,1,7,0.86,0.857,0,0,0,0,0,-,4,5,21,-0.048,1,1,2,1,2,4,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,17,Miguel Gionet,1,1,0,0,2,1,1,0,0,0,0,0,-,1,0,1,1,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,5,Austin Trites,1,3,0,0,0,-,-,7,4,2,2,15,2.07,0,0,0,-,0,0,0,1,3,5,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,6,Nate Haverko,1,1,0,0,0,-,-,0,0,0,1,1,0,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,11,Mason Stefaniuk,1,2,0,0,0,-,-,0,0,0,0,0,-,1,0,1,1,0,0,0,2,3,0,0,-,-,1
2023-2024,2023-12-02,Holland,Crandall,CU,12,Noah MacDonald,1,3,1,4,5,0.8,0.2,0,0,0,0,0,-,2,4,9,-0.222,2,0,2,0,0,0,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,10,Liam Rafferty,1,3,0,2,5,1.4,0.6,0,1,0,0,1,2,0,3,4,-0.75,0,2,2,0,0,0,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,15,James Jeffrey,1,2,0,2,2,0,0,8,4,2,1,15,2.27,2,2,12,0,1,0,1,0,1,2,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,14,"Unknown , HC",1,3,3,1,8,2.5,0.875,0,0,0,0,0,-,6,2,13,0.308,0,0,0,0,0,2,2,-,-,1
2023-2024,2023-12-02,Holland,Crandall,Holland,1,"Unknown , HC",1,3,0,1,9,1.33,0.889,0,0,0,0,0,-,0,1,5,-0.2,0,0,0,21,36,11,1,-,-,0
