Season,Date,TEAM,ID,Oponnent ,By Set,MP,0,S Pts W,S Pts L,S W %,02,SR Pts W,SR Pts L,SO %,03,Ace,S Err,S Att,S Rtg,S %,04,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,05,Kill,A Err,Att,H %,06,B Solo,B Assist,B Total,07,Assist,A Att,08,Digs,09,Sent,Received,010,Violations,BHE
2023-2024,2023-11-04,Crandall,vs.,STU,1,1,0,3,19,0.136,0,19,6,0.76,0,0,4,22,1.86,0.818,0,4,4,3,2,13,1.77,0,10,3,16,0.438,0,0,0,0,0,9,14,0,7,0,4,0,0,0,0
2023-2024,2023-11-04,Crandall,vs.,STU,2,1,0,3,10,0.231,0,9,15,0.375,0,1,4,13,1.69,0.692,0,7,2,8,2,19,1.74,0,4,8,16,-0.25,0,0,0,0,0,4,16,0,2,0,4,2,0,0,1
2023-2024,2023-11-04,Crandall,vs.,STU,3,1,0,7,15,0.318,0,15,10,0.6,0,3,5,22,1.64,0.773,0,2,5,9,1,17,1.47,0,5,5,17,0,0,0,1,1,0,5,17,0,9,0,10,1,0,0,1
2023-2024,2023-11-04,Crandall,vs.,STU,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-04,Crandall,vs.,STU,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-04,STU,@,Crandall,1,1,0,6,19,0.24,0,19,3,0.864,0,2,12,25,1.16,0.52,0,2,9,7,0,18,1.72,0,16,0,25,0.64,0,2,0,2,0,16,25,0,3,0,1,4,0,0,0
2023-2024,2023-11-04,STU,@,Crandall,2,1,0,15,9,0.625,0,10,3,0.769,0,2,5,24,1.79,0.792,0,2,2,4,1,9,1.56,0,10,2,15,0.533,0,0,4,4,0,9,14,0,4,0,2,3,0,0,0
2023-2024,2023-11-04,STU,@,Crandall,3,1,0,10,15,0.4,0,15,7,0.682,0,1,8,25,1.72,0.68,0,6,6,2,3,17,1.88,0,13,5,30,0.267,0,1,0,1,0,10,26,0,5,0,1,6,0,0,1
2023-2024,2023-11-04,STU,@,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-04,STU,@,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-11,Crandall,vs.,USTA,1,1,0,5,15,0.25,0,14,10,0.583,0,2,6,20,1.35,0.7,0,3,10,4,3,20,1.65,0,8,4,23,0.174,0,1,0,1,0,7,22,0,6,0,3,3,0,0,1
2023-2024,2023-11-11,Crandall,vs.,USTA,2,1,0,2,15,0.118,0,15,10,0.6,0,0,2,17,1.29,0.882,0,8,4,6,2,20,1.9,0,10,5,20,0.25,0,0,0,0,0,8,17,0,4,0,5,1,0,0,1
2023-2024,2023-11-11,Crandall,vs.,USTA,3,1,0,9,12,0.429,0,11,13,0.458,0,2,3,21,1.62,0.857,0,8,4,3,5,20,1.75,0,8,5,21,0.143,0,1,1,2,0,8,20,0,6,0,2,3,0,0,2
2023-2024,2023-11-11,Crandall,vs.,USTA,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
